"sep=,"
Shimmer_69B4_TimestampSync_Unix_CAL,Shimmer_69B4_ECG_LA-RA_24BIT_CAL,Shimmer_69B4_ECGtoHR_LA_RA_CAL,
ms,mV,BPM,
1.6861877734666594E12,-605.0000721216288,-1.0,
1.686187773468612E12,-605.0000721216288,-1.0,
1.6861877734705647E12,-605.0000721216288,-1.0,
1.686187773472517E12,-605.0000721216288,-1.0,
1.6861877734744697E12,-605.0000721216288,-1.0,
1.6861877734764224E12,-605.0000721216288,-1.0,
1.686187773478375E12,-605.0000721216288,-1.0,
1.6861877734803276E12,-605.0000721216288,-1.0,
1.68618777348228E12,-605.0000721216288,-1.0,
1.6861877734842327E12,-605.0000721216288,-1.0,
1.6861877734861853E12,-605.0000721216288,-1.0,
1.686187773488138E12,-605.0000721216288,-1.0,
1.6861877734900906E12,-605.0000721216288,-1.0,
1.686187773492043E12,-605.0000721216288,-1.0,
1.6861877734939956E12,-605.0000721216288,-1.0,
1.6861877734959482E12,-605.0000721216288,-1.0,
1.686187773497901E12,-605.0000721216288,-1.0,
1.6861877734998535E12,-605.0000721216288,-1.0,
1.686187773501806E12,-605.0000721216288,-1.0,
1.6861877735037585E12,-605.0000721216288,-1.0,
1.6861877735057112E12,-605.0000721216288,-1.0,
1.6861877735076638E12,-605.0000721216288,-1.0,
1.6861877735096165E12,-605.0000721216288,-1.0,
1.6861877735115688E12,-605.0000721216288,-1.0,
1.6861877735135215E12,-605.0000721216288,-1.0,
1.686187773515474E12,-605.0000721216288,-1.0,
1.6861877735174268E12,-605.0000721216288,-1.0,
1.6861877735193794E12,-605.0000721216288,-1.0,
1.6861877735213318E12,-605.0000721216288,-1.0,
1.6861877735232844E12,-605.0000721216288,-1.0,
1.686187773525237E12,-605.0000721216288,-1.0,
1.6861877735271897E12,-605.0000721216288,-1.0,
1.6861877735291423E12,-605.0000721216288,-1.0,
1.6861877735310947E12,-605.0000721216288,-1.0,
1.6861877735330474E12,-605.0000721216288,-1.0,
1.686187773535E12,-605.0000721216288,-1.0,
1.6861877735369526E12,-605.0000721216288,-1.0,
1.6861877735389053E12,-605.0000721216288,-1.0,
1.6861877735408577E12,-605.0000721216288,-1.0,
1.6861877735428103E12,-605.0000721216288,-1.0,
1.686187773544763E12,-605.0000721216288,-1.0,
1.6861877735467156E12,-605.0000721216288,-1.0,
1.6861877735486682E12,-605.0000721216288,-1.0,
1.6861877735506206E12,-605.0000721216288,-1.0,
1.6861877735525732E12,-605.0000721216288,-1.0,
1.686187773554526E12,-605.0000721216288,-1.0,
1.6861877735564785E12,-605.0000721216288,-1.0,
1.6861877735584312E12,-605.0000721216288,-1.0,
1.6861877735603835E12,-605.0000721216288,-1.0,
1.6861877735623362E12,-605.0000721216288,-1.0,
1.6861877735642888E12,-605.0000721216288,-1.0,
1.6861877735662415E12,-605.0000721216288,-1.0,
1.686187773568194E12,-605.0000721216288,-1.0,
1.6861877735701465E12,-605.0000721216288,-1.0,
1.686187773572099E12,-605.0000721216288,-1.0,
1.6861877735740518E12,-605.0000721216288,-1.0,
1.6861877735760044E12,-605.0000721216288,-1.0,
1.686187773577957E12,-605.0000721216288,-1.0,
1.6861877735799094E12,-605.0000721216288,-1.0,
1.686187773581862E12,-605.0000721216288,-1.0,
1.6861877735838147E12,-605.0000721216288,-1.0,
1.6861877735857673E12,-605.0000721216288,-1.0,
1.68618777358772E12,-605.0000721216288,-1.0,
1.6861877735896724E12,-605.0000721216288,-1.0,
1.686187773591625E12,-605.0000721216288,-1.0,
1.6861877735935776E12,-605.0000721216288,-1.0,
1.6861877735955303E12,-605.0000721216288,-1.0,
1.686187773597483E12,-605.0000721216288,-1.0,
1.6861877735994353E12,-605.0000721216288,-1.0,
1.686187773601388E12,-605.0000721216288,-1.0,
1.6861877736033406E12,-605.0000721216288,-1.0,
1.6861877736052932E12,-605.0000721216288,-1.0,
1.6861877736072458E12,-605.0000721216288,-1.0,
1.6861877736091982E12,-605.0000721216288,-1.0,
1.686187773611151E12,-605.0000721216288,-1.0,
1.6861877736131035E12,-605.0000721216288,-1.0,
1.6861877736150562E12,-605.0000721216288,-1.0,
1.6861877736170088E12,-605.0000721216288,-1.0,
1.6861877736189612E12,-605.0000721216288,-1.0,
1.6861877736209138E12,-605.0000721216288,-1.0,
1.6861877736228665E12,-605.0000721216288,-1.0,
1.686187773624819E12,-605.0000721216288,-1.0,
1.6861877736267717E12,-605.0000721216288,-1.0,
1.686187773628724E12,-605.0000721216288,-1.0,
1.6861877736306768E12,-605.0000721216288,-1.0,
1.6861877736326294E12,-605.0000721216288,-1.0,
1.686187773634582E12,-605.0000721216288,-1.0,
1.6861877736365347E12,-605.0000721216288,-1.0,
1.686187773638487E12,-605.0000721216288,-1.0,
1.6861877736404397E12,-605.0000721216288,-1.0,
1.6861877736423923E12,-605.0000721216288,-1.0,
1.686187773644345E12,-605.0000721216288,-1.0,
1.6861877736462976E12,-605.0000721216288,-1.0,
1.68618777364825E12,-605.0000721216288,-1.0,
1.6861877736502026E12,-605.0000721216288,-1.0,
1.6861877736521553E12,-605.0000721216288,-1.0,
1.686187773654108E12,-605.0000721216288,-1.0,
1.6861877736560605E12,-605.0000721216288,-1.0,
1.686187773658013E12,-605.0000721216288,-1.0,
1.6861877736599656E12,-605.0000721216288,-1.0,
1.6861877736619182E12,-605.0000721216288,-1.0,
1.6861877736638708E12,-605.0000721216288,-1.0,
1.6861877736658235E12,-605.0000721216288,-1.0,
1.686187773667776E12,-605.0000721216288,-1.0,
1.6861877736697285E12,-605.0000721216288,-1.0,
1.6861877736716812E12,-605.0000721216288,-1.0,
1.6861877736736338E12,-605.0000721216288,-1.0,
1.6861877736755864E12,-605.0000721216288,-1.0,
1.6861877736775388E12,-605.0000721216288,-1.0,
1.6861877736794915E12,-605.0000721216288,-1.0,
1.686187773681444E12,-605.0000721216288,-1.0,
1.6861877736833967E12,-605.0000721216288,-1.0,
1.6861877736853494E12,-605.0000721216288,-1.0,
1.6861877736873018E12,-605.0000721216288,-1.0,
1.6861877736892544E12,-605.0000721216288,-1.0,
1.686187773691207E12,-605.0000721216288,-1.0,
1.6861877736931597E12,-605.0000721216288,-1.0,
1.6861877736951123E12,-605.0000721216288,-1.0,
1.6861877736970647E12,-605.0000721216288,-1.0,
1.6861877736990173E12,-605.0000721216288,-1.0,
1.68618777370097E12,-605.0000721216288,-1.0,
1.6861877737029226E12,-605.0000721216288,-1.0,
1.6861877737048752E12,-605.0000721216288,-1.0,
1.6861877737068276E12,-605.0000721216288,-1.0,
1.6861877737087803E12,-605.0000721216288,-1.0,
1.686187773710733E12,-605.0000721216288,-1.0,
1.6861877737126855E12,-605.0000721216288,-1.0,
1.6861877737146382E12,-605.0000721216288,-1.0,
